method_name,eer,model,arch,params,metric,dataset,partition,timestamp
pixel_euclidean_baseline,0.363,,Baseline,0.1,euclidean,RVL-CDIP,validation_pairs.csv,2025-11-21 00:02:54
pixel_cosine_baseline,0.363,N/A,Baseline,0.1,cosine,RVL-CDIP,validation_pairs.csv,2025-11-21 00:03:23
