method_name,eer,model,arch,params,metric,dataset,partition,timestamp
pixel_euclidean_baseline,0.0907197563488153,,Baseline,0.1,euclidean,LA-CDIP,validation_pairs.csv,2025-11-21 00:01:57
pixel_cosine_baseline,0.09071975634881535,N/A,Baseline,0.1,cosine,LA-CDIP,validation_pairs.csv,2025-11-21 00:02:26
